# walkers = all; burn = 0; skip = 450
1.866344548803463788e+00 -3.340672255710729344e-01 -2.966471513763708767e+00 -2.541271489297528774e+00 -8.914193316607250672e-01 -3.367421437457568167e+00 -1.249970067594630807e+00 1.108142499157949601e+00 7.198465478522292349e-01
8.083587210721059346e-01 7.041275424511302949e-01 -2.628419881461824925e+00 -2.051902217881131030e+00 -1.048129592466993998e+00 -2.174320133772772223e+00 -8.038682974779028934e-01 5.529553971632403808e-01 7.333754042111060301e-01
7.995315092655007616e-01 5.441456255413763543e-01 -1.163519001909154804e+00 -1.075462973315601811e+00 -1.701928724717415298e+00 -1.732494543731951664e+00 -6.469848949095196033e-01 4.146462226092713088e-01 6.454399580311502849e-01
1.313054024968227651e+00 2.533638294313882433e-01 -2.841490519550627702e+00 -3.737436881917956200e+00 -1.142095950694643314e+00 -1.469882562802101278e+00 -5.076990285226856692e-01 3.408772165938886434e-01 4.840909569823204084e-01
1.772336307219243290e+00 -2.307108309053645945e-01 -2.987078037266100772e+00 -3.422745449808820339e+00 -7.587479753773225255e-01 -2.472655297973307409e+00 -7.697237801776344313e-01 4.458253344623942516e-01 8.406195909420302037e-01
1.491329484585160126e+00 -9.618723484894711739e-02 -1.618942520515420203e+00 -1.567426308500773136e+00 -1.197773107256451919e+00 -7.266825049925400570e-01 -6.674731215720466349e-01 3.101075754887214209e-01 8.613967439846621499e-01
1.295126385293748905e+00 -1.041421234643716276e-01 -9.624460296853913910e-01 -6.234761945995164201e-01 -1.645694205481738059e+00 -7.405829549307725301e-01 -8.270035231633694472e-01 4.087177909372601281e-01 1.025741517845650819e+00
9.893783051927271810e-01 -3.072176133757542615e-02 -4.160647106872228940e-01 -8.024693069455757222e-02 -1.563301452733775188e+00 -1.097601955170837584e+00 -8.819592583145750009e-01 4.281618463494561433e-01 1.109232688851012227e+00
3.767569405097817903e+00 -8.109469695641264853e-01 -1.306839822641325588e+00 -2.368346150844052200e+00 -1.439999071144044018e+00 -2.488421637226732930e+00 -2.044912884147007670e+00 1.714993973678820005e+00 1.072170564217379551e+00
3.465971725206697052e+00 -1.602259037272251607e+00 1.015049618586905122e-02 -1.571742664523068100e-01 -1.130768929478088936e+00 -6.117204107262042001e-01 -1.684157792777804197e+00 1.344431162630466137e+00 1.058409157958954294e+00
3.409058389701309366e+00 -1.392070519900264092e+00 1.508926440605217634e+00 -3.936413020334308399e-01 -5.457492990707526470e-01 1.153645266735754404e-01 -1.600588545028382104e+00 1.405040409005007040e+00 8.715009084019049723e-01
3.154307841430998849e+00 -1.660603681146940014e+00 1.287896736892703675e+00 -4.107987455594732107e-01 -1.200398461904486069e-01 1.081626941424860266e-01 -1.588501524018562039e+00 1.447418454009995470e+00 8.082262133699398277e-01
3.222917134962587582e+00 -1.537546453429094129e+00 1.257382621211889928e+00 -4.755983416256974738e-01 -8.120939526174364431e-02 4.192454070566085100e-01 -1.699800482138773994e+00 1.598677920366034844e+00 7.934315051491144244e-01
