# walkers = all; burn = 0; skip = 300
-3.885340614880916643e-01 -2.508924588817229573e+00 -1.377642399504689807e+00 -4.236142395707232389e+00 -3.785596462268765894e+00 1.283852882036657261e+00 2.014465226501996852e-03 -2.413629507668973301e-03 -4.646886947304119725e-04
-1.001645348272982794e+00 -1.822451112163931963e+00 -1.969172985044097102e+00 -3.434051498683426740e+00 -3.720601343170575337e+00 5.796178212667899565e-01 1.998990737632597332e-03 -2.406462176799893139e-03 -4.436791281702135836e-04
-1.355851828242129686e+00 -1.322973865488933143e+00 -2.098182866476762332e+00 -3.636139737699952246e+00 -3.727107669018586478e+00 3.284389086607799046e-01 1.611799274627142122e-03 -1.610570454988390250e-03 -8.849896929014478952e-04
-1.214083068831749435e+00 -1.539023998909932800e+00 -1.901438231856484418e+00 -2.779008989061295232e+00 -3.682594389547839686e+00 1.458785485597573484e-01 1.856727285954410398e-03 -2.163966617540542814e-03 -5.313483954359342776e-04
-1.101575886318807429e+00 -2.974756288582865338e+00 -1.484885846707152623e+00 -2.476962938691097627e+00 -3.541218838260701496e+00 -2.377408669376595007e-01 2.004018554995666383e-03 -2.450743677412512388e-03 -3.808708980962412054e-04
-9.044326292530939781e-01 -3.250347238244681858e+00 -1.963173474938624707e+00 -3.990198428513396234e+00 -3.281383197709472732e+00 -9.894523927447167466e-01 2.404814400565917151e-03 -3.286412970475961152e-03 7.988715373600271778e-05
-1.025783629272193576e+00 -2.920525311342053509e+00 -1.910978073221977658e+00 -3.987116233565115131e+00 -3.277636496811520139e+00 -8.301494372974664859e-01 2.430037686809490699e-03 -3.347052701329171487e-03 1.204370349600655354e-04
-8.721113177323707166e-01 -3.284043630003572467e+00 -1.563052215878864226e+00 -3.297737576496560852e+00 -3.442773768121051070e+00 -1.193282789494991558e+00 2.393896939284292664e-03 -3.232588764262617383e-03 3.134034512353861546e-05
-2.976090205505907416e-01 -3.754197012718575976e+00 -1.625654530865771719e+00 -2.685551591145853401e+00 -3.395369546910549374e+00 -3.321655696104639510e-01 2.063887802091069271e-03 -2.628966140073897301e-03 -2.406719181562901738e-04
-2.051863286889024085e-01 -5.958147975606157942e+00 -2.732750098057474375e+00 -5.381762398964958782e-01 -3.662286338375435601e+00 -5.642744648291310172e-01 2.432642391823502514e-03 -3.327874046906046084e-03 1.184997835368540697e-04
-1.161872481216784880e+00 -4.120455510909899921e+00 -1.812907483453308544e+00 -5.191324068864701102e-01 -3.678446685094724167e+00 -8.381694912015624777e-01 2.195302034775734046e-03 -2.830571253072470140e-03 -1.674336911495523112e-04
-8.710004594829579005e-01 -4.830677862519798360e+00 -2.490411419222635203e+00 -7.496114395800985708e-01 -3.559754547181864126e+00 -2.314872303691956068e-03 2.411241033814529901e-03 -3.331886804295765888e-03 1.580270087975857440e-04
-9.596530476598854609e-01 -3.302900182057149969e+00 -1.490179745970614533e+00 -7.700724883247986874e-01 -3.326665982424927837e+00 2.531166859830435989e-01 2.282068302490292307e-03 -3.143113281239618296e-03 1.034517002486340983e-04
