# T1bar = 140 K, He mass abu = 0.18, H mass abu = 0.82, LM-H/He-REOS.3
# rho(g/ccm)       T (K)              P (GPa)            u (kJ/g)           s (kJ/g/K)
3.5432215196e+000  1.6910000000e+004  3.6548527193e+003  9.0345268747e+002  5.03991658e-002   
3.9712612316e+000  1.8268780066e+004  4.5877523689e+003  1.0278312653e+003  5.03991658e-002   
4.1999168894e+000  1.8974000000e+004  5.1247935316e+003  1.0935903730e+003  5.03991658e-002   
4.4558283887e+000  1.9783621634e+004  5.7646529611e+003  1.1685632768e+003  5.03991658e-002   
4.9995216813e+000  2.1229482133e+004  7.2186761832e+003  1.3258294508e+003  5.03991658e-002   
5.0208391138e+000  2.1289000000e+004  7.2786270463e+003  1.3320061953e+003  5.03991658e-002   
5.6095555891e+000  2.2857228120e+004  9.0283247151e+003  1.5028675603e+003  5.03991658e-002   
5.9835811302e+000  2.3886000000e+004  1.0214388205e+004  1.6096485977e+003  5.03991658e-002   
6.2940248914e+000  2.4706576442e+004  1.1245481848e+004  1.6971356037e+003  5.03991658e-002   
7.0620120800e+000  2.6622107164e+004  1.3971776787e+004  1.9094144778e+003  5.03991658e-002   
7.1355748461e+000  2.6801000000e+004  1.4246203436e+004  1.9295058428e+003  5.03991658e-002   
7.9237078783e+000  2.8634008212e+004  1.7326629946e+004  2.1417771508e+003  5.03991658e-002   
8.5714748139e+000  3.0071000000e+004  2.0047045196e+004  2.3123150750e+003  5.03991658e-002   
8.8905464659e+000  3.1034321076e+004  2.1502638753e+004  2.4041383922e+003  5.03991658e-002   
9.8024182726e+000  3.3740000000e+004  2.5890772721e+004  2.6613928583e+003  5.03991658e-002   
9.9753572036e+000  3.4256751607e+004  2.6760965529e+004  2.7093390337e+003  5.03991658e-002   
1.1192534871e+001  3.7012616999e+004  3.3150206324e+004  3.0388552646e+003  5.03991658e-002   
1.1602613925e+001  3.7857000000e+004  3.5426047795e+004  3.1476930471e+003  5.03991658e-002   
1.2558230675e+001  3.9757451057e+004  4.0970896436e+004  3.3976193934e+003  5.03991658e-002   
1.3994090676e+001  4.2477000000e+004  4.9916995094e+004  3.7638392061e+003  5.03991658e-002   
1.4090566571e+001  4.2654703361e+004  5.0544147349e+004  3.7880777913e+003  5.03991658e-002   
1.5809875724e+001  4.5731853513e+004  6.2246578035e+004  4.2123549191e+003  5.03991658e-002   
1.6993550938e+001  4.7660000000e+004  7.0866950584e+004  4.4970611638e+003  5.03991658e-002   
1.7738972323e+001  4.8932789990e+004  7.6593916325e+004  4.6789649882e+003  5.03991658e-002   
1.9903454307e+001  5.2264639456e+004  9.4230432776e+004  5.1956138514e+003  5.03991658e-002   
2.0740017533e+001  5.3475000000e+004  1.0144325432e+005  5.3910537416e+003  5.03991658e-002   
2.2332043037e+001  5.5865786384e+004  1.1587629557e+005  5.7646912305e+003  5.03991658e-002   
2.5056964409e+001  5.9583145040e+004  1.4237651378e+005  6.3870882872e+003  5.03991658e-002   
2.5372709402e+001  6.0000000000e+004  1.4559155141e+005  6.4580417734e+003  5.03991658e-002   
2.8114376476e+001  6.3570736208e+004  1.7477831989e+005  7.0669801140e+003  5.03991658e-002   
3.1180895573e+001  6.7321000000e+004  2.0992729282e+005  7.7278613893e+003  5.03991658e-002   
3.1544849237e+001  6.7759390848e+004  2.1427596857e+005  7.8052363106e+003  5.03991658e-002   
3.5393902982e+001  7.2107915727e+004  2.6247373983e+005  8.6082064096e+003  5.03991658e-002   
3.8779765177e+001  7.5536000000e+004  3.0812340358e+005  9.2940901549e+003  5.03991658e-002   
3.9712612316e+001  7.6766869150e+004  3.2144900079e+005  9.4890011439e+003  5.03991658e-002   
4.4558283887e+001  8.2935478602e+004  3.9427032347e+005  1.0479588728e+004  5.03991658e-002   
4.6032503620e+001  8.4752000000e+004  4.1759881948e+005  1.0774173868e+004  5.03991658e-002   
4.9995216813e+001  8.9543214911e+004  4.8294766969e+005  1.1551830182e+004  5.03991658e-002   
5.6095555891e+001  9.6661888055e+004  5.9084680690e+005  1.2710916133e+004  5.03991658e-002   
